Argument ID	Part	Usage	Conclusion	Stance	Premise
A12004	usa	train	We should stop using economic sanctions.	in favor of	The country will not be complying with economic sanctions.
A12005	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	Nuclear weapons are immoral and should be banned by the states.
A12006	usa	train	The Church of Scientologists should be banned.	in favor of	The church of scientology has caused psychological harm to some of its members and has held some against their will.
A12007	usa	train	The Olympics should be abolished.	in favor of	The olympic games are not an accurate representation of the skill of the sportsmen because they are not able to completely use drugs.
A12008	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	Nuclear weapons are not a win and the world is just gone if two or more countries nuke each other.
A12009	usa	train	Foster care can bring harm.	in favor of	Children raised in foster care don't have the same love for their parents as a mom and dad.
A12010	usa	train	We should have a multi-party system.	against	Multi-party systems are slow because we have too many different people trying to get something done.
A12011	usa	train	We should allow polygamy.	against	The father could not offer the time he wanted for his children.
A12013	usa	train	We should close the camp.	against	The fight against terrorism is a net positive, but we should not close the prison because of bad treatment.
A12014	usa	train	We should have compulsory voting.	against	Everyone has a opinion on a topic, but not everyone is in favor of it.
A12015	usa	train	We should support stem cell research.	in favor of	The research helps to provide innovations in cancer treatment and help in the treatment of patient's with diseases such as parkinson's disease, subsidizing would allow for more funding.
A12016	usa	train	We should stop mandatory retirement.	against	The younger generation of workers would otherwise be thrown out of work if it weren't for mandatory retirement.
A12017	usa	train	The blockade of the Gaza Strip should be ended.	in favor of	The blockade causes dire living conditions and economic detriments because it prevents free access to the citizens.
A12019	usa	train	The Olympics should be abolished.	against	The olympics have been the goal for athletes to aim for to be the best so abolishing the games would take away their dreams and ambitions.
A12020	usa	train	Affirmative action should be ended.	in favor of	Affirmative action unfairly promotes people based on their minority status instead of promoting people who are more suited for the job.
A12021	usa	train	It should be a criminal offense to assist in suicide.	in favor of	Murder is murder no matter what.
A12024	usa	train	We should allow organ trade.	in favor of	If the wait list for a transplant is too long, people should be allowed to buy organs from other countries if they want to.
A12025	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	Nuclear weapons are not necessary.
A12026	usa	train	We should not clone humans.	against	Human cloning will be beneficial to scientific advances in the future.
A12027	usa	train	Holocaust denial should be a crime.	against	We believe in free speech and any person can believe what they want.
A12028	usa	train	Intellectual property rights should be abolished.	against	Intellectual property rights prevent people from stealing others' ideas.
A12029	usa	train	There should be a ban on the use of payday loans.	against	Those who need it the most can get a payday loan.
A12030	usa	train	The Olympics should be abolished.	in favor of	The Olympics are usually a drain on the economy of the host city.
A12031	usa	train	We should stop the pride parades.	in favor of	There are things that young children should not see at pride parades.
A12032	usa	train	We should not tolerate any kind of behavior in schools.	against	Students should be able to state their opinions and be able to mature.
A12033	usa	train	Public defenders should be compulsory.	in favor of	It is more likely that a person will have a fair trial if they are forced to use public defenders.
A12034	usa	train	We should stop profiling people.	in favor of	It is not right to presume that someone is guilty of something just because of their skin colour.
A12035	usa	train	We should fight for our communities.	against	Poor people in rural areas who lack resources are helped by urbanization.
A12036	usa	train	We should stop algorithmic trading.	against	Ai is the future and the future will be a lot more like algorithmic trading.
A12037	usa	train	We should stop the pride parades.	against	Understanding others is important to pride parades.
A12038	usa	train	We should stop zoos.	in favor of	Zoos are too small and do not give animals the space and habitat that they need to grow up.
A12039	usa	train	We should not use child actors.	in favor of	We are exploiting the youth for entertainment.
A12041	usa	train	Celibacy should be abandoned.	in favor of	The vow of celibacy is a cruel requirement that deters people from entering certain professions and should be abandoned.
A12042	usa	train	We should stop using safe spaces.	in favor of	Those who are easily offended need to grow up.
A12043	usa	train	We should stop using school uniforms.	in favor of	People need to be free to express their opinions on clothing, so we should stop using school uniform.
A12045	usa	train	Public defenders should be compulsory.	against	People have the right to hire an attorney that will do a thorough job and defend them in court.
A12046	usa	train	We should stop factory farming.	against	Factory farming is more efficient than other methods.
A12047	usa	train	There should be a ban on the use of payday loans.	in favor of	The borrowers financial situation gets worse when they pay high interest rates because the lenders prey on them.
A12048	usa	train	Public defenders should be compulsory.	in favor of	The poor will be made poor with outside legal fees if the public defender is not allowed to represent them.
A12049	usa	train	Executive compensation should be limited.	against	They have a right to the profits of the company they started, so we shouldn't limit executive compensation.
A12050	usa	train	We should not allow cosmetic surgery for children.	in favor of	Minors can pressure parents into having surgery if it is objectively a bad decision.
A12051	usa	train	We should not clone humans.	in favor of	It is dangerous to open this door.
A12053	usa	train	We should stop factory farming.	against	Factory farming helps to keep up with demand for food.
A12054	usa	train	We should not be married.	in favor of	It is clear that marriage is no longer an appropriate concept because of the high divorce rates.
A12055	usa	train	Entrapment should be legalized.	against	It shouldn't be legal to use entrapment to catch people in the act of committing a crime because it forces people into a situation.
A12056	usa	train	Public defenders should be compulsory.	in favor of	The use of public defenders will bring consistency to the judicial system.
A12057	usa	train	We should use neutral language.	in favor of	There is no reason for gender-neutral language to be dominant, and it serves to temper preconceptions.
A12058	usa	train	We should support stem cell research.	in favor of	Stem cell research is necessary for the advancement of the human race.
A12059	usa	train	We should not allow school prayer.	in favor of	The students of all religions are not allowed to pray in school, it is not public and it is against their human rights.
A12060	usa	train	We should stop mandatory retirement.	against	Employers can refresh the workforce with a mandatory retirement age.
A12062	usa	train	It should be a criminal offense to assist in suicide.	in favor of	It is a criminal offense to assist suicide because it could force some doctors to do it.
A12063	usa	train	We should adopt a regime of austerity.	in favor of	The government can balance up financial deficits with the help of austerity regimes.
A12064	usa	train	We should support stem cell research.	in favor of	Stem cell research is important because it can help find new cures for diseases and it is the future of medicine.
A12065	usa	train	We should stop the development of cars.	in favor of	They can be more dangerous than drivers.
A12066	usa	train	We should not clone humans.	against	Human cloning can allow individuals to have a child that might not be possible.
A12067	usa	train	We should stop zoos.	in favor of	Animals should be allowed to roam free in zoos so that they can thrive.
A12070	usa	train	The blockade of the Gaza Strip should be ended.	in favor of	The blockade of the gaza strip is only meant to harm innocents who live in the area.
A12071	usa	train	We should stop whaling.	against	When it will help to revive fish populations, whaling should be allowed.
A12072	usa	train	We should support space exploration.	in favor of	The next frontier is space exploration.
A12073	usa	train	We should stop profiling people.	in favor of	racial profiling can lead to minorities being unfairly targeted.
A12074	usa	train	We should not allow naturopathy.	against	There is nothing wrong with using harmful and addictive pharmaceutical drugs.
A12075	usa	train	We should stop mandatory retirement.	against	Businesses need to be compulsory to keep up with the younger generation.
A12076	usa	train	Capital punishment should be abolished.	in favor of	There is a lot of evidence showing that capital punishment is not effective.
A12078	usa	train	We should stop algorithmic trading.	in favor of	An algorithm can't predict markets accurately.
A12080	usa	train	We should not allow school prayer.	against	Everyone is able to PRAY if they want to attend school or a church.
A12081	usa	train	Affirmative action should be ended.	against	Discrimination against people from minority background should not be ended.
A12082	usa	train	We should support the encyclopedia.	in favor of	Students and adults can find a lot of information on the website.
A12083	usa	train	We should stop telemarketers.	against	This is a free country and people have the right to call others and solicit items.
A12084	usa	train	We should stop profiling people.	in favor of	Everyone should be treated the same regardless of their race.
A12086	usa	train	We should support space exploration.	against	We should not subsidize space exploration because it is not important enough to spend public money on closer to home.
A12087	usa	train	We should have a multi-party system.	in favor of	A multi-party system allows for more options and candidates that are in line with certain populations, as not everyone has the same political views.
A12088	usa	train	Capital punishment should be abolished.	in favor of	The death penalty is outdated and inhumane.
A12089	usa	train	We should stop zoos.	in favor of	zoos are dangerous and not good for the animals to be out of their natural habitat just for the purpose of human entertainment
A12091	usa	train	Social media can bring harm.	in favor of	Our adversaries have used social media to sow division and cause chaos.
A12092	usa	train	Intellectual property rights should be abolished.	in favor of	Property rights can be expensive and therefore should be abolished so that everyone has an equal chance.
A12093	usa	train	We should stop profiling people.	in favor of	racial profiling should be stopped because it is a criminal intent in a group of people.
A12094	usa	train	We should stop algorithmic trading.	against	More trades can be made with the help of algorithmic trading.
A12095	usa	train	The Olympics should be abolished.	against	The olympic games offer a friendly competition meeting where the best athletes around the world can come together to celebrate their physical achievements.
A12096	usa	train	We should support journalism.	against	You are getting less accurate news because the reporting agency is less likely to report bad news about the place that is providing the funding.
A12097	usa	train	It should be banned.	against	It is important for couples who can't have children to use surrogates.
A12098	usa	train	Women should not be in combat.	in favor of	Women should not be allowed to fight because they cannot be as strong as men within their unit.
A12099	usa	train	We should stop mandatory retirement.	against	The companies that have a mandatory retirement policy keep a rotation of employees.
A12100	usa	train	We should stop using school uniforms.	against	No one is being unfairly judged for not being able to afford expensive clothes because they have to dress in school uniform.
A12101	usa	train	We should allow polygamy.	against	Children in polygamous relationships may be confused by this as they do not have a clear mother and father.
A12102	usa	train	We should not do cosmetic surgery.	in favor of	There are too many risks of something going wrong with cosmetic surgery.
A12103	usa	train	There should be a ban on the use of payday loans.	in favor of	People in desperate situations are taken advantage of by the payday loans.
A12104	usa	train	The Church of Scientologists should be banned.	against	Scientology is a way to study the nature of life.
A12105	usa	train	The blockade of the Gaza Strip should be ended.	in favor of	The blockade of the gaza strip is a humanitarian crisis.
A12106	usa	train	We should not use child actors.	against	Child actors should be allowed to work.
A12107	usa	train	The Olympics should be abolished.	against	The spirit of amateur athletic ability is reflected in the olympic games.
A12109	usa	train	libertarianism should be adopted by us.	in favor of	libertarianism allows more freedom for the people and removes tyranny from big government.
A12110	usa	train	We should use neutral language.	against	I think people should understand that people speak languages in different ways and that they should be accepted of that.
A12111	usa	train	We should stop algorithmic trading.	against	It is cost effective because it is timely.
A12112	usa	train	We should not serve fast food.	against	Fast food is an affordable option for people who can't get hot food elsewhere.
A12113	usa	train	We should not allow cosmetic surgery for children.	against	It isn't our place to decide if a surgery is good for a minor.
A12114	usa	train	We should not be married.	against	Children raised by both their parents fare better.
A12116	usa	train	We should allow the use of cannabis.	against	The Highway Loss Data Institute found that there was an increased collision risk in legal marijuana states.
A12117	usa	train	We should adopt a regime of austerity.	in favor of	It would help the economy by making people spend less money.
A12118	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	Nuclear weapons should be eliminated.
A12119	usa	train	We should allow organ trade.	against	Selling organs can lead to deaths on the operating table.
A12120	usa	train	We should stop profiling people.	in favor of	Racist profiling is wrong on every level, judging someone on their actions because of preconceived ideas about their race or appearance leads to injustice all the time.
A12122	usa	train	We should fight for the abolition of nuclear weapons.	against	Nuclear weapons help keep peace.
A12123	usa	train	We should stop using safe spaces.	against	Everyone needs a place where they can be accepted.
A12124	usa	train	We should stop using economic sanctions.	against	Getting rid of economic sanctions would make it harder to punish offending countries.
A12125	usa	train	The blockade of the Gaza Strip should be ended.	against	The blockade is a way to stop the fire rockets.
A12126	usa	train	We should allow the use of cannabis.	against	Cannabis has never been proven to help any conditions.
A12127	usa	train	Women should not be in combat.	against	If proper physical and mental tests are in place, then gender should not matter.
A12128	usa	train	Intellectual property rights should be abolished.	in favor of	Intellectual property rights don't allow sharing of ideas.
A12129	usa	train	Prostitution should be legalized.	against	Prostitution is linked to many rapes and murders of young women.
A12130	usa	train	Entrapment should be legalized.	against	It might lead to innocent people being prosecuted and sentenced.
A12131	usa	train	We should stop factory farming.	against	Factory farming lowers the cost of food.
A12132	usa	train	We should support space exploration.	in favor of	We need to subsidize space exploration in order to find a planet that we can live on when we destroy it.
A12133	usa	train	Holocaust denial should be a crime.	in favor of	holocaust denial causes an unsafe environment for minorities, especially jewish people.
A12134	usa	train	Affirmative action should be ended.	in favor of	Affirmative action is no longer needed in our society.
A12135	usa	train	Capital punishment should be abolished.	in favor of	Many innocent lives were being taken.
A12136	usa	train	Capital punishment should be abolished.	against	Some people can't be rehabilitated and will only continue their violent acts if they are put to death.
A12137	usa	train	We should not be married.	against	Marriage is important and a union made between two people under god should not be abandoned.
A12139	usa	train	Intelligence tests can bring harm.	in favor of	Intelligence tests don't show a person's real intelligence.
A12140	usa	train	The Church of Scientologists should be banned.	against	I don't see why we have to prohibit people from feeling satisfaction in scientology.
A12141	usa	train	We should not allow flag burning.	in favor of	It is the right thing to not allow flag burning.
A12142	usa	train	We should close the camp.	in favor of	The bay should be closed because it violates human rights.
A12144	usa	train	We should not allow flag burning.	against	Everyone has the right to their own freedom of speech, even if it means burning a flag.
A12146	usa	train	The Church of Scientologists should be banned.	in favor of	The church of scientology brainwash their members into giving them huge sums of money.
A12147	usa	train	Holocaust denial should be a crime.	in favor of	This argument is toxic and also a verbal and mental attack, so why is it different than the german's?
A12148	usa	train	We should not do cosmetic surgery.	against	There are people who need to have their surgeries done to improve their lifestyles.
A12153	usa	train	Intelligence tests can bring harm.	in favor of	Intelligence tests are biased towards the type of people who designed them.
A12155	usa	train	We should not clone humans.	in favor of	We don't know the repercussions of human cloning.
A12156	usa	train	We should stop the development of cars.	against	People who are disabled would be able to have their own transportation.
A12157	usa	train	We should not use child actors.	in favor of	child actors miss out on socializing with their own kids and fall behind in school
A12158	usa	train	Social media can bring harm.	in favor of	People are mean to each other online because they can't see each other.
A12159	usa	train	Women should not be in combat.	in favor of	An ally could act recklessly if they saved a woman, as they see it as an abuse to the woman, as they can't attack to see that the opponent is a woman.
A12160	usa	train	We should stop profiling people.	in favor of	It is a racist policy and should be stopped.
A12161	usa	train	Capital punishment should be abolished.	against	The families of the victims can be reassured that the perpetrators will never harm them again.
A12162	usa	train	We should stop using school uniforms.	against	Children can attend school without peer pressure on clothing.
A12163	usa	train	We should stop factory farming.	against	The prices of food have dropped greatly because of factory farming.
A12164	usa	train	The three-strikes laws should be abolished.	against	A criminal will think twice about committing a crime if he knows that he will be sentenced to life imprisonment.
A12165	usa	train	Foster care can bring harm.	against	Saving a child's life and giving them options in their life is one way to make them a valued citizen.
A12166	usa	train	We should stop algorithmic trading.	against	The value of shareholders is increased by the accuracy of the trading.
A12167	usa	train	Private military companies should be banned.	against	Private capital can be used as a source of technological innovations for our defense, since the state cannot have exclusive rights in the creation of weapons.
A12168	usa	train	We should subsidize stay-at- home dads.	in favor of	We will improve the quality of the family life by subsidizing stay-at- home dads.
A12170	usa	train	We should not allow cosmetic surgery for children.	in favor of	Children's brains are not mature enough to make life long decisions about under going surgery.
A12171	usa	train	Prostitution should be legalized.	against	Legalising prostitution could lead to more serious crimes such as women becoming involved in the drug trade or people traffickers.
A12173	usa	train	We should use neutral language.	in favor of	The old gendered language is just an anachronism because of the fact that genders are now being more equal than ever.
A12174	usa	train	The three-strikes laws should be abolished.	in favor of	It is unfair to convict someone for a third crime that isn't dependent on the crime's magnitude.
A12175	usa	train	We should stop the pride parades.	against	The world needs to know that all human beings deserve respect and acceptance.
A12176	usa	train	Intelligence tests can bring harm.	against	Intelligence tests are used to find kids who are smarter.
A12177	usa	train	We should stop using safe spaces.	against	Safe spaces are important to people struggling with mental health problems and getting rid of them would increase their likelihood of abusing drugs.
A12178	usa	train	Intelligence tests can bring harm.	in favor of	If they get a bad score on the IQ test, they may not try to succeed.
A12179	usa	train	Intellectual property rights should be abolished.	against	Intellectual property rights are a deterrent for those who would steal other people's ideas and creations.
A12180	usa	train	We should not allow flag burning.	against	Even if what they do makes some unhappy or uncomfortable, they should be allowed to express themselves.
A12181	usa	train	We should stop using safe spaces.	in favor of	Public funding for universities is at risk due to backlash from right wing legislatures, so we should abolish safe spaces.
A12182	usa	train	We should not use child actors.	in favor of	Making a child work as an actor deprives them of their childhood experiences.
A12184	usa	train	Prostitution should be legalized.	in favor of	If prostitution were legal, the people would be better protected and diseases would be controlled.
A12185	usa	train	Private military companies should be banned.	in favor of	Private military companies are not subject to military laws.
A12187	usa	train	We should have a multi-party system.	against	A multi-party system can lead to coalitions that are unstable.
A12188	usa	train	We should stop factory farming.	in favor of	Animals in factory farms are held in bad conditions.
A12190	usa	train	We should allow polygamy.	against	Marriage is between two people and not legalized.
A12191	usa	train	We should stop using economic sanctions.	against	Economic sanctions make foreign items more affordable for struggling Americans.
A12192	usa	train	Public defenders should be compulsory.	against	The government has enough obligations without having to provide court services.
A12193	usa	train	It should be banned.	in favor of	There is too much potential for exploitation and abuse to allow it.
A12194	usa	train	We should not clone humans.	against	Stem cells, organs, and other life-saving products can be created from cloned humans, which could save millions of lives.
A12195	usa	train	We should stop factory farming.	in favor of	Factory farming causes health problems and pollution.
A12197	usa	train	Celibacy should be abandoned.	in favor of	celibacy is outdated and has little value in today's society.
A12198	usa	train	It should be banned.	against	If someone wants to become a parent, they can use the option of using surrogates.
A12201	usa	train	Affirmative action should be ended.	in favor of	Affirmative action devalues the achievements of people from minority background who have obtained their positions on merit alone.
A12202	usa	train	We should allow polygamy.	in favor of	Polygamy does not harm anyone or affect the community, so people should be free to live their lives as they please.
A12204	usa	train	Celibacy should be abandoned.	against	Abandoning the vow goes against many people's religious beliefs.
A12205	usa	train	We should subsidize stay-at- home dads.	against	Why should stay-at- home dads be subsidized when they have never been paid for their work?
A12206	usa	train	We should stop whaling.	against	A lot of cultures include whaling.
A12208	usa	train	We should not allow naturopathy.	in favor of	Allowing people to believe that diet can cure cancer causes them to pass away, instead of seeking treatment that would have saved them.
A12209	usa	train	We should not clone humans.	in favor of	Human cloning is open to abuse and could be used for the wrong things.
A12210	usa	train	We should stop using safe spaces.	in favor of	Safe spaces should be abolished because they make our society weak.
A12211	usa	train	Entrapment should be legalized.	against	Entrapment is an unfair way of dealing with people and should not be legalized.
A12212	usa	train	We should not serve fast food.	in favor of	Fast food is known to have bad fats.
A12214	usa	train	Social media can bring harm.	against	Social media is used to connect friends and raise money for the needy.
A12215	usa	train	We should stop zoos.	in favor of	It is not right to force animals into an environment that is not their natural habitat.
A12217	usa	train	We should not allow cosmetic surgery for children.	in favor of	The capitalistic society that promotes cosmetic surgery promotes is focused on money rather than acceptance.
A12218	usa	train	We should not tolerate any kind of behavior in schools.	in favor of	Zero-tolerance policies help stop children from being aggressive.
A12219	usa	train	We should not allow flag burning.	in favor of	The flag is a very important symbol of our country and any offense against it must be punished.
A12220	usa	train	It should be a criminal offense to assist in suicide.	against	If people choose to die with dignity, then that's great.
A12221	usa	train	We should stop whaling.	in favor of	We should ban whaling because it does not make a lot of money and does not kill many rare animals.
A12222	usa	train	We should have a multi-party system.	against	People in a country are not helped by the choices in political parties.
A12223	usa	train	We should use neutral language.	against	We should not change the way people speak because they have been doing that for hundreds of years.
A12224	usa	train	We should stop factory farming.	against	Factory farming is necessary in our society to protect the environment in which animals are living from disease and predators.
A12225	usa	train	Foster care can bring harm.	against	Foster care gives kids who wouldn't have a parent in their life a chance at a normal life.
A12226	usa	train	We should allow the use of cannabis.	in favor of	Cannabis is not more addictive than cigarettes or alcohol.
A12228	usa	train	We should stop the development of cars.	against	The human margin of error will be reduced to zero with the introduction of self-driving cars.
A12229	usa	train	We should support stem cell research.	against	I don't think tax dollars should be spent on research into stem cells.
A12230	usa	train	We should stop telemarketers.	in favor of	The weak are encouraged to buy what they can't afford by telemarketing.
A12231	usa	train	Private military companies should be banned.	in favor of	Private military companies are not welcome in our democracy.
A12232	usa	train	We should support journalism.	in favor of	journalism has been important.
A12236	usa	train	We should have a multi-party system.	in favor of	A multi-party system allows citizens to vote for the party that best represents their beliefs.
A12237	usa	train	We should allow polygamy.	against	The government should not allow people to have romantic relationships with each other because of the legalization of polygamy.
A12238	usa	train	We should stop algorithmic trading.	against	The programmes will always evolve to make better use of trading practices, so holding people back from using them will only serve to slow down progress.
A12239	usa	train	We should stop the pride parades.	against	Gay people have suffered a lot over the years and should be able to have a parade.
A12240	usa	train	We should use neutral language.	in favor of	If everything was said about gender neutrally, no one would be offended.
A12241	usa	train	We should support the encyclopedia.	against	The open source nature of the internet makes it unreliable because anyone can add gibberish and false information.
A12243	usa	train	We should subsidize stay-at- home dads.	in favor of	It is possible for fathers to stay at home with their children just as much as mothers.
A12244	usa	train	We should stop allowing the right to keep and bear arms.	against	The ability to keep and use firearms is important for a person's safety and liberty.
A12246	usa	train	We should not be married.	in favor of	A couple doesn't have to marry to prove their love.
A12247	usa	train	We should subsidize stay-at- home dads.	in favor of	Females who work are not paid as much as men in the same jobs, so stay-at- home dads need an income to care for their children.
A12248	usa	train	Celibacy should be abandoned.	against	The marriage would distract priests and they should devote their time to god and preaching.
A12249	usa	train	Private military companies should be banned.	against	Private military companies provide additional soldiers in places where it's necessary.
A12251	usa	train	We should stop using school uniforms.	in favor of	Adolescents can be very self-conscious about their appearance.
A12252	usa	train	We should allow organ trade.	in favor of	Many people in need of organs have trouble getting good organs, so we should legalized organ trade.
A12253	usa	train	Private military companies should be banned.	against	Private military companies are not banned because they protect people.
A12254	usa	train	Holocaust denial should be a crime.	against	The state can't criminalize holocaust denial because people have the right to free speech.
A12255	usa	train	Women should not be in combat.	against	Women can make a military contribution by serving in the military.
A12256	usa	train	We should not serve fast food.	against	Fast food is banned in an example of regulations taking away our freedom.
A12257	usa	train	We should stop allowing the right to keep and bear arms.	in favor of	The right to keep and bear arms should be abolished as it has gotten out of hand with too many mass shootings.
A12258	usa	train	The Olympics should be abolished.	in favor of	The olympic games are too expensive to host.
A12259	usa	train	We should stop whaling.	in favor of	It harms economic activity that is generated by whale watching.
A12260	usa	train	We should stop mandatory retirement.	against	The person who is responsible for the safety of others must retire at a certain age in order to remain competent.
A12261	usa	train	There should be a ban on the use of payday loans.	against	Those who can't maintain a bank account can get a loan from a lender.
A12262	usa	train	libertarianism should be adopted by us.	in favor of	libertarianism allows people to be who they are and make society more interesting.
A12263	usa	train	We should stop profiling people.	against	The truth is that some races are more likely to commit certain crimes, such as terrorism, which makes them justify racial profiling.
A12265	usa	train	We should allow the use of cannabis.	in favor of	It has been proven that bannabis has medical benefits that outweigh any negative effects and should be legalized.
A12266	usa	train	We should stop the pride parades.	against	They stand for what they stand for, so they should not cancel pride parades.
A12267	usa	train	It should be a criminal offense to assist in suicide.	against	It is unfair to force people to suffer.
A12268	usa	train	We should use neutral language.	against	If we don't know who is being referred to, we will have confusion.
A12269	usa	train	We should not tolerate any kind of behavior in schools.	against	It is unfair to punish those being bullied and not the bully.
A12270	usa	train	We should fight for our communities.	in favor of	The area will be less safe because there are more people living in a smaller area.
A12271	usa	train	We should not allow flag burning.	in favor of	flag burning is against the morals of the US
A12273	usa	train	We should have compulsory voting.	against	Some people don't feel capable of doing it.
A12274	usa	train	Social media can bring harm.	against	People can communicate with their favorite celebrities on social media.
A12275	usa	train	We should stop zoos.	in favor of	zoos trap animals to amuse people
A12276	usa	train	We should not do cosmetic surgery.	in favor of	It should be banned because of the dangers of cosmetic surgery.
A12277	usa	train	We should support the encyclopedia.	against	There is a risk of inaccurate information being broadcast because those authoring articles on the internet are not experts on the topic.
A12278	usa	train	We should allow organ trade.	against	We would end up in bidding wars where the rich were the only ones who could benefit.
A12279	usa	train	We should not clone humans.	in favor of	Human cloning should be banned because it can be dangerous.
A12280	usa	train	The blockade of the Gaza Strip should be ended.	against	The international bodies are dismissing Israel's sovereignty.
A12281	usa	train	Women should not be in combat.	against	We should not prohibit women from fighting because they are willing to die for their country.
A12282	usa	train	We should fight for our communities.	against	Creating jobs and housing can be helped by urbanization.
A12283	usa	train	Executive compensation should be limited.	in favor of	Executive compensation for national ecomics should be limited.
A12284	usa	train	We should not allow naturopathy.	in favor of	There is no proof that Naturopathy is safe.
A12286	usa	train	Executive compensation should be limited.	in favor of	CEO's make 100 times what an average worker makes and they don't generate any capital.
A12287	usa	train	We should have compulsory voting.	in favor of	Turn out figures are low and we need to get people to vote.
A12288	usa	train	We should stop algorithmic trading.	in favor of	Most people don't know how to use an automated trading system and if it's good for them or not.
A12289	usa	train	We should stop zoos.	in favor of	Some animals are kept in appalling conditions in zoos and should be left in their natural environment.
A12290	usa	train	Entrapment should be legalized.	in favor of	The need for it is because a person is a danger to the community.
A12292	usa	train	We should stop the development of cars.	against	People will be able to do more in self-drive cars.
A12293	usa	train	We should have compulsory voting.	in favor of	The election practice would be made fair by compulsory voting.
A12295	usa	train	We should not serve fast food.	against	Fast food is good for busy people because they can eat it on the go.
A12296	usa	train	Intelligence tests can bring harm.	in favor of	It is difficult to measure the capabilities of people who communicate in a non-standard way with a standard IQ test.
A12297	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	We should all agree to remove nuclear weapons from our possession.
A12298	usa	train	We should not serve fast food.	against	Fast food restaurants can provide a healthy alternative to fast food.
A12299	usa	train	It should be a criminal offense to assist in suicide.	in favor of	Allowing assisted suicide would allow greedy relatives to take advantage of ill relatives for their own financial gain.
A12300	usa	train	We should stop whaling.	against	Most whaling is done for research.
A12301	usa	train	Capital punishment should be abolished.	against	The victim's family can finally rest after strict capital punishment.
A12302	usa	train	We should not tolerate any kind of behavior in schools.	against	Zero tolerance does not allow individual cases where it may do more harm than good.
A12303	usa	train	Executive compensation should be limited.	in favor of	excessive wages damage the company and its shareholders.
A12304	usa	train	We should support the encyclopedia.	in favor of	It is not free to run it if you want to.
A12305	usa	train	The Olympics should be abolished.	against	The olympic games allow for amateur athletes to live out their dreams.
A12306	usa	train	It should be a criminal offense to assist in suicide.	in favor of	Killing another person is wrong and should be banned.
A12307	usa	train	The Olympics should be abolished.	in favor of	It costs too much to build for the games and never use them again.
A12308	usa	train	We should allow the use of cannabis.	against	Cannabis is a dangerous drug and should not be legalized.
A12309	usa	train	Entrapment should be legalized.	against	It is tempting someone to do something wrong in an effort to capture criminals.
A12310	usa	train	libertarianism should be adopted by us.	in favor of	libertarianism promotes political freedom of choice as its core value and is the ultimate expression of democracy.
A12311	usa	train	We should not allow naturopathy.	in favor of	The use of Naturopathy may stop people from seeking help.
A12313	usa	train	The blockade of the Gaza Strip should be ended.	in favor of	The blockade hurts Palestinians that are not connected to Hamas or violence against Israel.
A12315	usa	train	We should not tolerate any kind of behavior in schools.	against	Due process is granted to Americans, but sometimes there are circumstances that need to be taken into account.
A12316	usa	train	We should stop the pride parades.	in favor of	People in parades bully the members.
A12317	usa	train	Private military companies should be banned.	against	Private military companies are doing a good job and shouldn't be banned.
A12318	usa	train	We should adopt a regime of austerity.	in favor of	An austerity regime is the most effective way to reduce the national debt.
A12319	usa	train	The three-strikes laws should be abolished.	against	The three strikes law is necessary to ensure society understands the consequences of repeated ill behavior.
A12320	usa	train	We should stop zoos.	against	Zoos bring in a lot of money and can be used to research animal behavior.
A12321	usa	train	Intelligence tests can bring harm.	in favor of	Intelligence tests punish people who are not good test takers.
A12322	usa	train	We should use neutral language.	against	We should not place any restrictions on freedom of speech, many of the restrictions are unnecessary and arbitrary, such as thegingerbread man becoming the person.
A12323	usa	train	We should subsidize stay-at- home dads.	against	The public should not have to pay for other peoples life style choices.
A12324	usa	train	Women should not be in combat.	against	Women should be allowed to fight in a battle to support their country.
A12325	usa	train	Social media can bring harm.	in favor of	It is more difficult for people to interact face to face with social media.
A12326	usa	train	We should not use child actors.	in favor of	The use of child actors can have negative effects on a child.
A12327	usa	train	We should stop allowing the right to keep and bear arms.	against	The right to keep and bear arms is a constitutional right.
A12328	usa	train	We should stop telemarketers.	in favor of	telemarketing is annoying for people as they don't request a phone call and people who are elderly feel threatened into taking part
A12329	usa	train	We should stop using safe spaces.	against	safe spaces allow people to feel comfortable without having to worry about being judged for who they are or who they love.
A12330	usa	train	We should stop using safe spaces.	in favor of	Safe spaces are not free speech spaces.
A12332	usa	train	Executive compensation should be limited.	against	An executive has worked hard to get to that position and should be compensated for their value to the company.
A12333	usa	train	We should stop the development of cars.	in favor of	The cars can be hacked and used for evil purposes.
A12334	usa	train	We should adopt a regime of austerity.	against	The common man is hurt by austerity regimes.
A12335	usa	train	It should be a criminal offense to assist in suicide.	in favor of	Murder is assisted suicide.
A12336	usa	train	Prostitution should be legalized.	in favor of	Prostitution should be legalized since it should be out in the open.
A12337	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	The possession of nuclear weapons is against the law.
A12338	usa	train	We should allow polygamy.	in favor of	Polygamy allows for marriage among certain communities that have practiced it for a long time for women who would otherwise be widowed or single.
A12340	usa	train	Celibacy should be abandoned.	in favor of	The bible does not say that priests can't have wives and have families, that's a good thing for them.
A12341	usa	train	It should be banned.	against	A couple can use surrogates to have children.
